Endpoint,Limit,Remaining,Reset
/lists/list,15,15,1722207949
/lists/:id/tweets&GET,900,900,1722207949
/lists/:id/followers&GET,180,180,1722207949
/lists/memberships,75,75,1722207949
/lists/:id&DELETE,300,300,1722207949
/lists/subscriptions,15,15,1722207949
/lists/members,900,900,1722207949
/lists/:id&GET,75,75,1722207949
/lists/subscribers/show,15,15,1722207949
/lists/:id&PUT,300,300,1722207949
/lists/show,75,75,1722207949
/lists/ownerships,15,15,1722207949
/lists/:id/members/:user_id&DELETE,300,300,1722207949
/lists/subscribers,180,180,1722207949
/lists/:id/members&POST,300,300,1722207949
/lists/:id/members&GET,900,900,1722207949
/lists/members/show,15,15,1722207949
/lists/statuses,900,900,1722207949
/application/rate_limit_status,180,180,1722207949
/mutes/users/list,15,15,1722207949
/mutes/users/ids,15,15,1722207949
/verify/:version/badge-violation,15,15,1722207949
/verify/:version/badge-violation/violations,15,15,1722207949
/verify/:version/intake,15,15,1722207949
/verify/:version/document-formats,15,15,1722207949
/verify/:version/id-document&GET,1000,1000,1722207949
/verify/:version/id-document&POST,15,15,1722207949
/verify/:version/access,15,15,1722207949
/verify/:version/account-eligibility,15,15,1722207949
/admin_users,2000,2000,1722207949
/live_video_stream/status/:id,1000,1000,1722207949
/friendships/outgoing,15,15,1722207949
/friendships/list,200,200,1722207949
/friendships/no_retweets/ids,15,15,1722207949
/friendships/lookup,15,15,1722207949
/friendships/incoming,15,15,1722207949
/friendships/show,180,180,1722207949
/guide,180,180,1722207949
/guide/get_explore_locations,100,100,1722207949
/guide/explore_locations_with_autocomplete,200,200,1722207949
/auth/csrf_token,15,15,1722207949
/compliance/jobs&POST,150,150,1722207949
/compliance/jobs&GET,150,150,1722207949
/compliance/jobs/:job_id,150,150,1722207949
/paseto/token,100,100,1722207949
/blocks/list,15,15,1722207949
/blocks/create&POST,200,200,1722207949
/blocks/ids,15,15,1722207949
/geo/similar_places,15,15,1722207949
/geo/place_page,75,75,1722207949
/geo/id/:place_id,75,75,1722207949
/geo/reverse_geocode,15,15,1722207949
/geo/search,15,15,1722207949
/users/,900,900,1722207949
/users/:id/list_memberships&GET,75,75,1722207949
/users/:id,900,900,1722207949
/users/:id/muting&POST,50,50,1722207949
/users/report_spam,15,15,1722207949
/users/:id/pinned_lists/:list_id&DELETE,50,50,1722207949
/users/:source_user_id/blocking/:target_user_id&DELETE,50,50,1722207949
/users/contributors/pending,2000,2000,1722207949
/users/show/:id,900,900,1722207949
/users/:source_user_id/following&POST,50,50,1722207949
/users/:id/tweets,900,900,1722207949
/users/:id/retweets/:source_tweet_id&DELETE,50,50,1722207949
/users/search,900,900,1722207949
/users/:id/likes&POST,50,50,1722207949
/users/suggestions/:slug,15,15,1722207949
/users/contributees/pending,200,200,1722207949
/users/:id/retweets&POST,50,50,1722207949
/users/profile_banner,180,180,1722207949
/users/by/username/:source_username/following/:target_user_name&DELETE,50,50,1722207949
/users/by/username/:handle/tweets,900,900,1722207949
/users/derived_info,15,15,1722207949
/users/:id/blocking&POST,50,50,1722207949
/users/by/username/:source_username/following&POST,50,50,1722207949
/users/:id/followers,15,15,1722207949
/users/suggestions/:slug/members,15,15,1722207949
/users/:id/muting,15,15,1722207949
/users/:id/pinned_lists&GET,15,15,1722207949
/users/:id/mentions,180,180,1722207949
/users/:id/following,15,15,1722207949
/users/:id/pinned_lists&POST,50,50,1722207949
/users/:source_user_id/following/:target_user_id&DELETE,50,50,1722207949
/users/by/username/:username,900,900,1722207949
/users/:id/owned_lists&GET,15,15,1722207949
/users/:id/followed_lists&POST,50,50,1722207949
/users/by/username/:username/followers,15,15,1722207949
/users/lookup,900,900,1722207949
/users/:id/followed_lists/:list_id&DELETE,50,50,1722207949
/users/:id/blocking,15,15,1722207949
/users/suggestions,15,15,1722207949
/users/:id/likes/:tweet_id&DELETE,50,50,1722207949
/users/by/username/:username/following,15,15,1722207949
/users/by/username/:handle/mentions,180,180,1722207949
/users/by,900,900,1722207949
/users/:source_user_id/muting/:target_user_id&DELETE,50,50,1722207949
/users/:id/followed_lists&GET,15,15,1722207949
/users/:id/liked_tweets,75,75,1722207949
/teams/authorize,15,15,1722207949
/followers/ids,15,15,1722207949
/followers/list,15,15,1722207949
/collections/list,1000,1000,1722207949
/collections/entries,1000,1000,1722207949
/collections/show,1000,1000,1722207949
/permissions/user_permissions/admin_email_verification,3,3,1722207949
/permissions/user_permissions,3,3,1722207949
/tweets&POST,200,200,1722207949
/statuses/retweeters/ids,75,75,1722207949
/statuses/retweets_of_me,75,75,1722207949
/statuses/home_timeline,15,15,1722207949
/statuses/show/:id,900,900,1722207949
/statuses/user_timeline,900,900,1722207949
/statuses/friends,15,15,1722207949
/statuses/retweets/:id,75,75,1722207949
/statuses/mentions_timeline,75,75,1722207949
/statuses/oembed,180,180,1722207949
/statuses/lookup,900,900,1722207949
/custom_profiles/list,180,180,1722207949
/custom_profiles/show,180,180,1722207949
/webhooks/subscriptions/direct_messages,15,15,1722207949
/webhooks,15,15,1722207949
/contacts/uploaded_by,300,300,1722207949
/contacts/users,300,300,1722207949
/contacts/addressbook,300,300,1722207949
/contacts/users_and_uploaded_by,300,300,1722207949
/contacts/delete/status,300,300,1722207949
/labs/2/platform_manipulation/reports,5,5,1722207949
/labs/:version/tweets/:id/hidden&PUT,10,10,1722207949
/labs/:version/tweets/stream/filter/,50,50,1722207949
/labs/:version/users/:id/tweets,225,225,1722207949
/labs/2/reports,5,5,1722207949
/labs/:version/tweets/stream/filter/rules&POST,450,450,1722207949
/labs/:version/tweets/stream/sample,50,50,1722207949
/labs/:version/users/by/username/:handle/tweets,225,225,1722207949
/labs/:version/tweets/metrics/private,15,15,1722207949
/labs/:version/tweets/stream/filter/rules/:instance_name,450,450,1722207949
/labs/:version/tweets/*,900,900,1722207949
/labs/:version/users/*,900,900,1722207949
/labs/:version/tweets/stream/filter/:instance_name,50,50,1722207949
/labs/:version/tweets/stream/filter/rules/,450,450,1722207949
/labs/:version/tweets/stream/compliance,500,500,1722207949
/labs/:version/tweets/search,225,225,1722207949
/i/config,15,15,1722207949
/i/tfb/v1/smb/web/:account_id/payment/save,15,15,1722207949
/tweet_prompts/report_interaction,180,180,1722207949
/tweet_prompts/show,180,180,1722207949
/moments/statuses/update,5,5,1722207949
/moments/create,15,15,1722207949
/moments/permissions,300,300,1722207949
/limiter_scalding_report_creation,4500,4500,1722207949
/fleets/:version/mutes/create,100,100,1722207949
/fleets/:version/viewers,100,100,1722207949
/fleets/:version/delete,50,50,1722207949
/fleets/:version/avatar_content,100,100,1722207949
/fleets/:version/create,50,50,1722207949
/fleets/:version/user_fleets,180,180,1722207949
/fleets/:version/fleetline,100,100,1722207949
/fleets/:version/track_events,100,100,1722207949
/fleets/:version/update,50,50,1722207949
/fleets/:version/fleet_threads,1000,1000,1722207949
/fleets/:version/mutes/list,100,100,1722207949
/fleets/:version/mutes/destroy,100,100,1722207949
/fleets/:version/home_timeline,100,100,1722207949
/fleets/:version/feedback/create,500,500,1722207949
/fleets/:version/mark_read,1000,1000,1722207949
/help/tos,15,15,1722207949
/help/configuration,15,15,1722207949
/help/settings,15,15,1722207949
/help/privacy,15,15,1722207949
/help/languages,15,15,1722207949
/feedback/show/:id,180,180,1722207949
/feedback/events,1000,1000,1722207949
/business_experience/dashboard_settings/destroy,450,450,1722207949
/business_experience/dashboard_features,450,450,1722207949
/business_experience/keywords,450,450,1722207949
/business_experience/dashboard_settings/update,450,450,1722207949
/business_experience/dashboard_settings/show,450,450,1722207949
/limiter/ci_test/do/not/change&GET,4321,4321,1722207949
/graphql&POST,15,15,1722207949
/friends/following/ids,15,15,1722207949
/friends/following/list,15,15,1722207949
/friends/list,15,15,1722207949
/friends/ids,15,15,1722207949
/sandbox/account_activity/webhooks/:id/subscriptions,500,500,1722207949
/drafts/statuses/update,450,450,1722207949
/drafts/statuses/destroy,450,450,1722207949
/drafts/statuses/ids,450,450,1722207949
/drafts/statuses/list,450,450,1722207949
/drafts/statuses/show,450,450,1722207949
/drafts/statuses/create,450,450,1722207949
/direct_messages/sent,300,300,1722207949
/direct_messages/broadcasts/list,60,60,1722207949
/direct_messages/subscribers/lists/members/show,1000,1000,1722207949
/direct_messages/mark_read,1000,1000,1722207949
/direct_messages/subscribers/ids,180,180,1722207949
/direct_messages/sent_and_received,300,300,1722207949
/direct_messages/broadcasts/statuses/list,60,60,1722207949
/direct_messages,300,300,1722207949
/direct_messages/subscribers/lists/members/ids,180,180,1722207949
/direct_messages/subscribers/show,180,180,1722207949
/direct_messages/broadcasts/show,60,60,1722207949
/direct_messages/broadcasts/statuses/show,60,60,1722207949
/direct_messages/subscribers/lists/list,180,180,1722207949
/direct_messages/show,300,300,1722207949
/direct_messages/events/list,15,15,1722207949
/direct_messages/subscribers/lists/show,180,180,1722207949
/direct_messages/events/show,15,15,1722207949
/media/upload,500,500,1722207949
/traffic/map,15,15,1722207949
/strato/column/None/:id/cms/*,150,150,1722207949
/account_activity/all/webhooks,15,15,1722207949
/account_activity/all/:instance_name/subscriptions,500,500,1722207949
/account_activity/direct_messages/webhooks,15,15,1722207949
/account_activity/webhooks/:id/subscriptions/direct_messages/list,15,15,1722207949
/account_activity/webhooks/:id/subscriptions/all,500,500,1722207949
/account_activity/direct_messages/:instance_name/webhooks,15,15,1722207949
/account_activity/webhooks/:id/subscriptions/all/list,15,15,1722207949
/account_activity/webhooks/:id/subscriptions/direct_messages,500,500,1722207949
/account_activity/webhooks,15,15,1722207949
/account_activity/direct_messages/:instance_name/subscriptions,15,15,1722207949
/account_activity/webhooks/:id/subscriptions,500,500,1722207949
/account_activity/all/:instance_name/webhooks,15,15,1722207949
/account/login_verification_enrollment,15,15,1722207949
/account/update_profile,15,15,1722207949
/account/authenticate_web_view,50,50,1722207949
/account/verify_credentials,75,75,1722207949
/account/settings,15,15,1722207949
/account/personalization/p13n_preferences,900,900,1722207949
/account/change_password,15,15,1722207949
/safety/detection_feedback,450000,450000,1722207949
/favorites/list,75,75,1722207949
/lists&POST,300,300,1722207949
/device/token,15,15,1722207949
/tweets/search/all,900,900,1722207949
/tweets/search/stream/rules,450,450,1722207949
/tweets/search/recent,180,180,1722207949
/tweets/sample/stream,50,50,1722207949
/tweets/:id&DELETE,50,50,1722207949
/tweets/,900,900,1722207949
/tweets/counts/all,900,900,1722207949
/tweets/search/stream,50,50,1722207949
/tweets/search/:product/:label,1800,1800,1722207949
/tweets/search/stream/rules/validation&POST,450,450,1722207949
/tweets/search/:product/:instance/counts,900,900,1722207949
/tweets/:id/retweeted_by,75,75,1722207949
/tweets/:tweet_id/liking_users,75,75,1722207949
/tweets/:id,900,900,1722207949
/tweets/search/stream/rules&DELETE,450,450,1722207949
/tweets/counts/recent,900,900,1722207949
/tweets/search/stream/rules&POST,450,450,1722207949
/tweets/:id/hidden&PUT,50,50,1722207949
/saved_searches/destroy/:id,15,15,1722207949
/saved_searches/show/:id,15,15,1722207949
/saved_searches/list,15,15,1722207949
/oauth/revoke,15,15,1722207949
/oauth/invalidate_token,450,450,1722207949
/oauth/revoke_html,15,15,1722207949
/search/tweets,180,180,1722207949
/trends/closest,75,75,1722207949
/trends/available,75,75,1722207949
/trends/place,75,75,1722207949
/live_pipeline/events,180,180,1722207949
/graphql,15,15,1722207949
